Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Archaea;,p__Crenarchaeota;,c__AAG;,o__Unclassified;,f__Unclassified;,g__Unclassified;,729293
k__Archaea;,p__Crenarchaeota;,c__AAG;,o__Unclassified;,f__Unclassified;,g__Unclassified;,1122524
k__Archaea;,p__Crenarchaeota;,c__AAG;,o__Unclassified;,f__Unclassified;,g__Unclassified;,2201479
k__Archaea;,p__Crenarchaeota;,c__AAG;,o__Unclassified;,f__Unclassified;,g__Unclassified;,2528843
k__Archaea;,p__Crenarchaeota;,c__AAG;,o__Unclassified;,f__Unclassified;,g__Unclassified;,3202308
k__Archaea;,p__Crenarchaeota;,c__AAG;,o__Unclassified;,f__Unclassified;,g__Unclassified;,3871866
k__Archaea;,p__Crenarchaeota;,c__AAG;,o__Unclassified;,f__Unclassified;,g__Unclassified;,4327819
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaeum;,4370637
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Candidatus_Caldiarchaeum;,137080
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Candidatus_Caldiarchaeum;,822059
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Candidatus_Caldiarchaeum;,2670181
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaceae_Group;,71209
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaceae_Group;,143638
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaceae_Group;,245328
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaceae_Group;,277785
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaceae_Group;,278219
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaceae_Group;,278246
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaceae_Group;,278899
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Caldiarchaceae;,g__Caldiarchaceae_Group;,321466
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Unclassified;,g__Unclassified;,838
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Caldiarchales;,f__Unclassified;,g__Unclassified;,144807
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Unclassified;,f__Unclassified;,g__Unclassified;,919
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Unclassified;,f__Unclassified;,g__Unclassified;,126878
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Unclassified;,f__Unclassified;,g__Unclassified;,309846
k__Archaea;,p__Crenarchaeota;,c__Aigarchaeota;,o__Unclassified;,f__Unclassified;,g__Unclassified;,348254
k__Archaea;,p__Crenarchaeota;,c__Korarchaeota;,o__Korarchaeotales;,f__Korarchaeotaceae;,g__Candidatus_Korarchaeum;,4387918
k__Archaea;,p__Crenarchaeota;,c__Korarchaeota;,o__Korarchaeotales;,f__Korarchaeotaceae;,g__Korarchaeotaceae_Group;,886
k__Archaea;,p__Crenarchaeota;,c__Korarchaeota;,o__Korarchaeotales;,f__Korarchaeotaceae;,g__Korarchaeotaceae_Group;,141171
k__Archaea;,p__Crenarchaeota;,c__Korarchaeota;,o__Korarchaeotales;,f__Korarchaeotaceae;,g__Korarchaeotaceae_Group;,143380
k__Archaea;,p__Crenarchaeota;,c__Korarchaeota;,o__Korarchaeotales;,f__Unclassified;,g__Unclassified;,144428
k__Archaea;,p__Crenarchaeota;,c__Korarchaeota;,o__pJP78;,f__Unclassified;,g__Unclassified;,144656
k__Archaea;,p__Crenarchaeota;,c__Korarchaeota;,o__pJP78;,f__Unclassified;,g__Unclassified;,159805
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,141782
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,143239
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,144695
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,144887
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,213389
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,537776
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,623003
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,664150
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,763082
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,766027
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,813473
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,1575174
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,2569441
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,2569442
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,2569443
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,3106281
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,3604094
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,3684826
k__Archaea;,p__Crenarchaeota;,c__MBGA;,o__NRP_J;,f__Unclassified;,g__Unclassified;,4435476
