Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Eubacterium_G;,MJ006-1-barcode39-umi49105bins-ubs-7
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Enterobacterales_A_737866;,f__Pasteurellaceae;,g__Haemophilus_D_735815;,MJ006-1-barcode39-umi51500bins-ubs-7
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi83108bins-ubs-5
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Peptostreptococcales;,f__Peptostreptococcaceae_256921;,g__Romboutsia_B;,MJ006-1-barcode39-umi80935bins-ubs-5
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Enterobacterales_A_737866;,f__Pasteurellaceae;,g__Haemophilus_D_735815;,MJ006-1-barcode39-umi80863bins-ubs-5
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Eubacterium_G;,MJ006-1-barcode39-umi82511bins-ubs-6
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Acutalibacteraceae;,g__Ruminococcus_E;,MJ006-1-barcode39-umi109275bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Agathobacter_164117;,MJ006-1-barcode39-umi109705bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Oscillospiraceae_88309;,g__Faecousia;,MJ006-1-barcode39-umi107659bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Anaerostipes;,MJ006-1-barcode39-umi110300bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Clostridium_Q_135822;,MJ006-1-barcode39-umi109098bins-ubs-5
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Gemmiger_A_73129;,MJ006-1-barcode39-umi108436bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi107598bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Enterocloster;,MJ006-1-barcode39-umi107927bins-ubs-5
k__Bacteria;,p__Firmicutes_C;,c__Negativicutes;,o__Veillonellales;,f__Veillonellaceae;,g__Veillonella_A;,MJ006-1-barcode39-umi108033bins-ubs-6
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Clostridium_Q_135822;,MJ006-1-barcode39-umi108324bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi109807bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Mediterraneibacter_A_155507;,MJ006-1-barcode39-umi109781bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Agathobacter_164117;,MJ006-1-barcode39-umi202710bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__UBA3402;,MJ006-1-barcode39-umi74248bins-ubs-5
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Dorea_A;,MJ006-1-barcode39-umi138535bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Ventrimonas;,MJ006-1-barcode39-umi137394bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Ruminococcus_C_58660;,MJ006-1-barcode39-umi64092bins-ubs-6
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Oliverpabstia;,MJ006-1-barcode39-umi179044bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Merdisoma;,MJ006-1-barcode39-umi115257bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Enterocloster;,MJ006-1-barcode39-umi117846bins-ubs-4
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Bacteroidales;,f__Bacteroidaceae;,g__Bacteroides_H;,MJ006-1-barcode39-umi117306bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Mediterraneibacter_A_155507;,MJ006-1-barcode39-umi116921bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Merdisoma;,MJ006-1-barcode39-umi115087bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi114591bins-ubs-5
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Acutalibacteraceae;,g__Ruminococcus_E;,MJ006-1-barcode39-umi115322bins-ubs-4
k__Bacteria;,p__Firmicutes_D;,c__Bacilli;,o__Erysipelotrichales;,f__Erysipelotrichaceae;,g__NSJ-61;,MJ006-1-barcode39-umi115563bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Clostridiales;,f__Clostridiaceae_222000;,g__Clostridium_T;,MJ006-1-barcode39-umi117561bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi117100bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Peptostreptococcales;,f__Peptostreptococcaceae_256921;,g__Romboutsia_B;,MJ006-1-barcode39-umi116135bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Peptostreptococcales;,f__Peptostreptococcaceae_256921;,g__Romboutsia_B;,MJ006-1-barcode39-umi114702bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi158202bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Peptostreptococcales;,f__Peptostreptococcaceae_256921;,g__Terrisporobacter;,MJ006-1-barcode39-umi157964bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi160144bins-ubs-3
k__Bacteria;,p__Firmicutes_D;,c__Bacilli;,o__Erysipelotrichales;,f__Coprobacillaceae;,g__Faecalibacillus;,MJ006-1-barcode39-umi161117bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Eubacterium_G;,MJ006-1-barcode39-umi160500bins-ubs-6
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi159590bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi157884bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Unclassified;,MJ006-1-barcode39-umi160260bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Clostridiales;,f__Clostridiaceae_222000;,g__Clostridium_T;,MJ006-1-barcode39-umi158580bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__UBA3402;,MJ006-1-barcode39-umi161137bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Dorea_A;,MJ006-1-barcode39-umi159548bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi159111bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__UBA3402;,MJ006-1-barcode39-umi134867bins-ubs-3
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_595427;,f__Burkholderiaceae_A_595427;,g__Sutterella;,MJ006-1-barcode39-umi133314bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Faecalibacterium;,MJ006-1-barcode39-umi133549bins-ubs-3
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Oscillospirales;,f__Ruminococcaceae;,g__Gemmiger_A_73129;,MJ006-1-barcode39-umi84370bins-ubs-5
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Dorea_A;,MJ006-1-barcode39-umi85725bins-ubs-5
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Lachnospirales;,f__Lachnospiraceae;,g__Lachnospira;,MJ006-1-barcode39-umi85330bins-ubs-5
