Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Eukaryota;,p__AB3F14RM1B12;,c__Uncultured_eukaryote;,o__Unclassified;,f__Unclassified;,g__Unclassified;,GU823894.1.1386
k__Eukaryota;,p__AB3F14RM1B12;,c__Uncultured_marine_alveolate;,o__Unclassified;,f__Unclassified;,g__Unclassified;,JF826390.1.1600
k__Eukaryota;,p__AB3F14RM1B12;,c__Uncultured_marine_alveolate;,o__Unclassified;,f__Unclassified;,g__Unclassified;,JF826389.1.1597
k__Eukaryota;,p__Amoebozoa;,c__Archamoebae;,o__Entamoebida;,f__Entamoeba;,g__Entamoeba_equi;,DQ286371.1.1916
k__Eukaryota;,p__Amoebozoa;,c__Archamoebae;,o__Entamoebida;,f__Entamoeba;,g__Entamoeba_gingivalis;,D28490.1.1918
k__Eukaryota;,p__Amoebozoa;,c__Archamoebae;,o__Entamoebida;,f__Entamoeba;,g__Entamoeba_insolita;,AF149909.1.1942
k__Eukaryota;,p__Amoebozoa;,c__Archamoebae;,o__Incertae_Sedis;,f__Rhizomastix;,g__Clydonella;,AY183892.1.1886
k__Eukaryota;,p__Amoebozoa;,c__Archamoebae;,o__Incertae_Sedis;,f__Rhizomastix;,g__Rhizomastix_libera;,JX157646.1.1754
k__Eukaryota;,p__Amoebozoa;,c__Archamoebae;,o__Incertae_Sedis;,f__Rhizomastix;,g__Rhizomastix_libera;,JX157644.1.1806
k__Eukaryota;,p__Amoebozoa;,c__Archamoebae;,o__Incertae_Sedis;,f__Rhizomastix;,g__Rhizomastix_libera;,JX157645.1.1822
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__Cavostelium;,f__Cavostelium_apophysatum;,g__Cavostelium_apophysatum;,FJ766476.1.1777
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__MPE1-14;,f__Gephyramoeba;,g__Gephyramoeba;,AF293897.1.1859
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__MPE1-14;,f__Uncultured_eukaryote;,g__Uncultured_eukaryote_Group;,AB695457.1.1817
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__Schizoplasmodiopsis;,f__Schizoplasmodiopsis_amoeboidea;,g__Schizoplasmodiopsis_amoeboidea;,FJ766478.1.1876
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__Schizoplasmodiopsis;,f__Schizoplasmodiopsis_amoeboidea;,g__Schizoplasmodiopsis_amoeboidea;,EF513179.1.1909
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__Schizoplasmodiopsis;,f__Schizoplasmodiopsis_pseudoendospora;,g__Schizoplasmodiopsis_pseudoendospora;,FJ766475.1.1786
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__Schizoplasmodiopsis;,f__Schizoplasmodiopsis_vulgaris;,g__Schizoplasmodiopsis_vulgaris;,EF513180.1.1812
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__Tychosporium;,f__Tychosporium_acutostipes;,g__Tychosporium_acutostipes;,FJ792704.1.1818
k__Eukaryota;,p__Amoebozoa;,c__Cavosteliida;,o__Tychosporium;,f__Tychosporium_acutostipes;,g__Tychosporium_acutostipes;,FJ792703.1.1818
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Acytostelium;,f__Acytostelium_leptosomum;,g__Acytostelium_leptosomum;,HQ141512.1.1886
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Acytostelium;,f__Acytostelium_longisorophorum;,g__Acytostelium_longisorophorum;,AM168109.1.1562
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Acytostelium;,f__Acytostelium_singulare;,g__Acytostelium_singulare;,HQ141514.1.1878
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium;,g__Dictyostelium;,AM168073.1.1877
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium;,g__Dictyostelium;,EU672875.1.1794
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_angelicum;,g__Dictyostelium_angelicum;,JF892716.1.1877
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_australe;,g__Dictyostelium_australe;,AM168029.1.1887
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_capillare;,g__Dictyostelium_capillare;,JF892721.1.1885
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_chordatum;,g__Dictyostelium_chordatum;,KC865596.1.1769
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_discoideum;,g__Dictyostelium_discoideum;,JF930882.5.1876
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_gracile;,g__Dictyostelium_gracile;,AM168078.1.1896
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_lacteum;,g__Dictyostelium_lacteum;,AM168045.1.1875
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_leptosomopsis;,g__Dictyostelium_leptosomopsis;,JN590757.1.1771
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_minutum;,g__Dictyostelium_minutum;,JN590758.1.1762
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_mucoroides;,g__Dictyostelium_mucoroides;,AM168053.1.1796
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_oculare;,g__Dictyostelium_oculare;,HQ141497.1.1941
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_polycarpum;,g__Dictyostelium_polycarpum;,AM168058.1.1883
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_polycarpum;,g__Dictyostelium_polycarpum;,AM168057.1.1881
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_polycephalum;,g__Dictyostelium_polycephalum;,DQ340387.9179.11067
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_polycephalum;,g__Dictyostelium_polycephalum;,HQ141490.1.1884
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_purpureum;,g__Dictyostelium_purpureum;,FJ424832.3.1810
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_purpureum;,g__Dictyostelium_purpureum;,AM168060.1.1875
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_purpureum;,g__Dictyostelium_purpureum;,FJ424842.23.1833
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_septentrionalis;,g__Dictyostelium_septentrionalis;,AM168066.1.1875
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_sphaerocephalum;,g__Dictyostelium_sphaerocephalum;,AY040336.1.1848
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_tenue;,g__Dictyostelium_tenue;,AM168094.1.1884
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_unicornutum;,g__Dictyostelium_unicornutum;,JF892725.1.1694
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Dictyostelium_vinaceofuscum;,g__Dictyostelium_vinaceofuscum;,AM168062.1.1876
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Dictyostelium;,f__Polysphondylium_patagonicum;,g__Polysphondylium_patagonicum;,GQ496156.1.1795
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Dictyostelium_flexuosum;,g__Dictyostelium_flexuosum;,HQ141500.1.1924
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Polysphondylium;,g__Polysphondylium;,AM168102.1.1939
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Polysphondylium;,g__Polysphondylium;,HQ141496.1.1752
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Polysphondylium;,g__Polysphondylium;,HQ141504.1.1906
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Polysphondylium_australicum;,g__Polysphondylium_australicum;,HQ141508.1.1917
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Polysphondylium_multicystogenum;,g__Polysphondylium_multicystogenum;,HQ141506.1.1914
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Polysphondylium_stolonicoideum;,g__Polysphondylium_stolonicoideum;,HQ141507.1.1914
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Polysphondylium_tikalense;,g__Polysphondylium_tikalense;,HQ141509.1.1860
k__Eukaryota;,p__Amoebozoa;,c__Dictyostelia;,o__Polysphondylium;,f__Polysphondylium_violaceum;,g__Polysphondylium_violaceum;,HQ732162.1.2525
k__Eukaryota;,p__Amoebozoa;,c__Discosea;,o__Flabellinia;,f__Dactylopodida;,g__Amoebozoa;,FN562420.1.1754
k__Eukaryota;,p__Amoebozoa;,c__Discosea;,o__Flabellinia;,f__Dactylopodida;,g__Amoebozoa;,FN562429.1.1242
k__Eukaryota;,p__Amoebozoa;,c__Discosea;,o__Flabellinia;,f__Dactylopodida;,g__Cyanidioschyzon;,HM161754.1.1870
k__Eukaryota;,p__Amoebozoa;,c__Discosea;,o__Flabellinia;,f__Dactylopodida;,g__Korotnevella;,AY121850.1.2002
