Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria;,p__Acidobacteria;,c__Acidobacteria;,o__Acidobacteriales;,f__Acidobacteriaceae;,g__Acidobacterium;,_CP001472
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinobaculum;,_FJ976344
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinobaculum;,_FJ976277
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinobaculum;,_GQ131416
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinobaculum;,_GU430997
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AB308089
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_NR_025521
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU470888
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ697609
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_DQ003632
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ051099
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_X80413
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AF287750
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_X80414
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU227174
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU418025
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ540309
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AY349364
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AY349365
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AF479270
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_EF558367
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ073294
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_X82451
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU407314
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ017278
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ091958
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ271894
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ234037
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ234041
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ234040
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AY278611
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU407081
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU407114
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU407131
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU407143
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU407164
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GU470901
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ507295
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ635359
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AB062278
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ234051
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ234048
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_X81062
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_X53225
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AF543286
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AF287747
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AF385553
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AB545935
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AF287749
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AJ234056
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_AY008314
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_DQ016919
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ113043
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ113810
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ421312
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ421320
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ101360
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Actinomycetaceae;,g__Actinomyces;,_GQ421314
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_AF537589
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_AF537593
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_AF543285
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_FJ976416
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_GQ067896
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_X84443
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_AF543287
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_X82065
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_GQ002575
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_AM420019
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_AM420211
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_GQ039328
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_GQ116155
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_GU429067
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_X84438
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_X84258
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Corynebacteriaceae;,g__Corynebacterium;,_X84442
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Dermabacteraceae;,g__Brachybacterium;,_AJ415376
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Dermacoccaceae;,g__Dermacoccus;,_GQ036304
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Microbacteriaceae;,g__Microbacterium;,_EU714343
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Microbacteriaceae;,g__Microbacterium;,_GU272293
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Microbacteriaceae;,g__Microbacterium;,_EU879962
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Microbacteriaceae;,g__Rathayibacter;,_EU539957
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Arthrobacter;,_DQ317590
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Micrococcus;,_HM358613
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Micrococcus_;,_AY730708
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Rothia;,_DQ673319
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Rothia;,_Y13025
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Rothia;,_AY594189
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Rothia;,_M59055
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Rothia;,_DQ409140
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Micrococcaceae;,g__Rothia;,_X87758
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Propionibacteriaceae;,g__Propionibacterium;,_AM157438
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Propionibacteriaceae;,g__Propionibacterium;,_AF287757
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Propionibacteriaceae;,g__Propionibacterium;,_AF287756
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Propionibacteriaceae;,g__Propionibacterium;,_AJ315953
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales;,f__Propionibacteriaceae;,g__Propionibacterium;,_GQ074375
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Actinomycetales_;,f__Dermabacteraceae;,g__Brachybacterium;,_GQ072160
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Bifidobacteriales;,f__Bifidobacteriaceae;,g__Bifidobacterium;,_D86183
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Bifidobacteriales;,f__Bifidobacteriaceae;,g__Bifidobacterium;,_AY850359
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Bifidobacteriales;,f__Bifidobacteriaceae;,g__Bifidobacterium;,_AJ307005
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Bifidobacteriales;,f__Bifidobacteriaceae;,g__Parascardovia;,_D89331
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Bifidobacteriales;,f__Bifidobacteriaceae;,g__Scardovia;,_D89332
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Bifidobacteriales;,f__Bifidobacteriaceae;,g__Scardovia;,_AF385524
k__Bacteria;,p__Actinobacteria;,c__Actinobacteridae;,o__Bifidobacteriales;,f__Bifidobacteriaceae;,g__Scardovia;,_AY278626
k__Bacteria;,p__Actinobacteria;,c__Coriobacteridae;,o__Coriobacteriales;,f__Coriobacteriaceae;,g__Atopobium;,_AF292372
k__Bacteria;,p__Actinobacteria;,c__Coriobacteridae;,o__Coriobacteriales;,f__Coriobacteriaceae;,g__Atopobium;,_AF292371
k__Bacteria;,p__Actinobacteria;,c__Coriobacteridae;,o__Coriobacteriales;,f__Coriobacteriaceae;,g__Cryptobacterium;,_CP001682
k__Bacteria;,p__Actinobacteria;,c__Coriobacteridae;,o__Coriobacteriales;,f__Coriobacteriaceae;,g__Olsenella;,_AY278623
k__Bacteria;,p__Actinobacteria;,c__Coriobacteridae;,o__Coriobacteriales;,f__Coriobacteriaceae;,g__Olsenella;,_EU592964
k__Bacteria;,p__Actinobacteria;,c__Coriobacteridae;,o__Coriobacteriales;,f__Coriobacteriaceae;,g__Olsenella;,_AF292374
k__Bacteria;,p__Actinobacteria;,c__Coriobacteridae;,o__Coriobacteriales;,f__Coriobacteriaceae;,g__Olsenella;,_AF292373
k__Bacteria;,p__Actinobacteria;,c__Coriobacteridae;,o__Coriobacteriales;,f__Coriobacteriaceae;,g__Slackia;,_AF101240
k__Bacteria;,p__Aquificae;,c__Aquificae;,o__Aquificales;,f__Aquificaceae;,g__Aquifex;,_M83548
