Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobacterium;,GCF_002287175.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobacterium;,GCF_000762265.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobrevibacter;,GCF_002252585.1_2
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobrevibacter;,GCF_002813085.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanohalophilus;,GCF_001889405.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanococci;,o__Methanococcales;,f__Methanococcaceae;,g__Methanococcus;,GCF_017875395.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanococci;,o__Methanococcales;,f__Methanococcaceae;,g__Methanococcus;,GCF_017875565.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanomicrobiales;,f__Methanomicrobiaceae;,g__Methanoculleus;,GCF_001571405.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanomicrobiales;,f__Methanospirillaceae;,g__Methanospirillum;,GCF_019263745.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanosarcina;,GCF_000978935.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanosarcina;,GCF_000979015.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanosarcina;,GCF_000979205.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanosarcina;,GCF_000980175.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanosarcina;,GCF_010706455.1_1
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanosarcina;,GCF_019669945.1_2
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanosarcina;,GCF_900116525.1_4
k__Archaea;,p__Euryarchaeota;,c__Methanomicrobia;,o__Methanosarcinales;,f__Methanosarcinaceae;,g__Methanococcoides;,GCF_000765475.1_1
k__Archaea;,p__Euryarchaeota;,c__Halobacteria;,o__Halobacteriales;,f__Halobacteriaceae;,g__Halobacterium;,GCF_004799605.1_1
k__Archaea;,p__Euryarchaeota;,c__Halobacteria;,o__Haloferacales;,f__Haloferacaceae;,g__Haloferax;,GCF_018419995.1_1
k__Archaea;,p__Euryarchaeota;,c__Halobacteria;,o__Haloferacales;,f__Halorubraceae;,g__Halorubrum;,GCF_002215285.1_1
k__Archaea;,p__Euryarchaeota;,c__Halobacteria;,o__Haloferacales;,f__Halorubraceae;,g__Halorubrum;,GCF_002215305.1_1
