Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Calidifontimicrobium,s__Calidifontimicrobium_sediminis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_oricebi
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Devosiaceae,g__Pelagibacterium,s__Pelagibacterium_luteolum
k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__Hallerella,s__Hallerella_SGB36342
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Rhizobiaceae,g__GGB7699,s__GGB7699_SGB11380
k__Bacteria,p__Verrucomicrobia,c__CFGB4299,o__OFGB4299,f__FGB4299,g__GGB12670,s__GGB12670_SGB19659
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Agitococcus,s__Agitococcus_lubricus
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_genitalium
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_sp_P16_2019
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Brevibacteriaceae,g__Brevibacterium,s__Brevibacterium_jeotgali
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_Family_XIII_Incertae_Sedis,g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,s__Clostridiales_Family_XIII_bacterium_BX16
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Micrococcaceae,g__GGB42949,s__GGB42949_SGB43520
k__Bacteria,p__Candidatus_Saccharibacteria,c__CFGB35908,o__OFGB35908,f__FGB35908,g__GGB59996,s__GGB59996_SGB81891
k__Bacteria,p__Acidobacteria,c__Acidobacteria_unclassified,o__Acidobacteria_unclassified,f__Acidobacteria_unclassified,g__Acidobacteria_unclassified,s__Acidobacteria_bacterium
k__Bacteria,p__Candidatus_Saccharibacteria,c__CFGB11265,o__OFGB11265,f__FGB11265,g__GGB62000,s__GGB62000_SGB84136
k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__GGB27184,s__GGB27184_SGB39403
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Microbulbiferaceae,g__Microbulbifer,s__Microbulbifer_harenosus
k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Niabella,s__Niabella_aurantiaca
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_sp_AF17_16
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Sulfitobacter,s__Sulfitobacter_pseudonitzschiae
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Croceicoccus,s__Croceicoccus_bisphenolivorans
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Nitrosococcus,s__Nitrosococcus_oceani
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Conservatibacter,s__Conservatibacter_flavescens
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Subtercola,s__Subtercola_frigoramans
k__Bacteria,p__Firmicutes,c__CFGB76779,o__OFGB76779,f__FGB76779,g__GGB33544,s__GGB33544_SGB53490
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_sp_YM1C_6_2
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_entomophila
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,s__Cupriavidus_sp_LEh25
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB28849,s__GGB28849_SGB41516
