SampleID,sp49,sp51,sp56,sp41,sp60,sp9,sp43,sp34,sp58,sp7,sp57,sp28,sp45,sp8,sp46,sp22,sp6,sp15,sp40,sp10,sp38,sp55,sp42,sp27,sp5,sp2,sp1,sp32,sp59,sp33,sp36,sp52,sp54,sp26,sp24,sp20,sp29,sp4,sp13,sp44,sp50,sp16,sp35,sp31,sp19,sp11,sp18,sp3,sp30,sp37,sp47,sp53,sp39,sp14,sp48,sp12,sp25,sp23,sp17,sp21,Group
Group_A_1,0.06607100900000003,0.011086313000000004,9.680000000000002e-05,0.021274614000000008,0.02884796700000001,0.04317335600000002,0.009171670000000003,0.009586932000000003,0.004823814000000002,0.0006616000000000003,0.016728038000000008,0.015088163000000005,0.02857634900000001,0.005944917000000002,0.009737935000000003,0.025582369000000008,0.008512874000000004,0.0019503800000000007,0.024257998000000006,0.0006090370000000002,0.00018481800000000006,0.05067240600000002,0.02841946700000001,0.006139709000000002,0.03184850600000001,0.016148524000000008,1.2800000000000005e-05,0,0.018693793000000007,0.0008124070000000002,0.07728812900000002,0,0.02927136200000001,0,0.0018437180000000007,0.020056199000000007,2.940000000000001e-05,0.0012498630000000004,0.05176356200000001,0.09407006000000002,0.0003294760000000001,0.049974455000000015,0.0005671750000000002,0.038087754000000015,0.03601488600000002,0.00013938200000000004,0,0.0009834950000000005,0.0005317530000000003,0.0009265690000000004,0.01880322800000001,0.07779858300000003,0.0006868820000000002,0,0.0026897780000000007,0,0.00045952600000000014,0,0.0011413560000000005,0.010578844000000004,HC
Group_A_2,0.0015119039999999995,0,0.03321930299999999,0.015148285999999997,0.018185426999999997,0.013637620999999997,0.038473208999999994,0.024856117999999993,0.04275799499999999,0.0025118749999999994,0,0.034761415999999996,0.00023749899999999996,0.012158792999999996,0,0.06679748499999999,0.015141535999999997,0.0014708399999999995,0.0004543429999999999,0.02996222499999999,0.028475578999999994,0.048887557999999984,0.018286841999999998,0.009354083999999999,0,0.0004691779999999999,0.04658415099999999,0.004789248999999999,0.04461733999999999,0.0013788779999999998,0.023972410999999992,0.011269852999999998,0,0.0005951979999999999,0.012941963999999997,0.0028145229999999998,0.031668485999999996,0.017110031999999997,0.022929746999999997,0.03388882199999999,0.0005005869999999999,0.0014608349999999997,0,0.046073436999999995,0,0.04365352199999999,0.0003794039999999999,0.00044792999999999987,0.0015310099999999995,0.037450332999999995,0.0008918319999999997,0,0.031206465999999992,0,0.042360762999999996,0.03456819399999999,0,1.3999999999999996e-05,0.024083290999999993,0.024058625999999993,HC
Group_A_3,0,0.021693814000000002,0.04967716500000001,0,0,0.13237444800000003,0.0014314430000000001,0,0,0,0.0022235580000000005,0.07998777600000001,0.030020428000000002,0.0048771380000000005,0.024944879000000003,0.0013323870000000002,0,0.028910312000000004,0,0.0010433470000000002,0,0.0019414940000000002,0,0.029819773000000004,0.0008232410000000001,0.21654489200000002,0.006722078000000001,0,0.07661385100000001,0.0016065650000000001,0.018430212000000005,0,0,0.00041332200000000004,0,0.017019383000000003,0,0,0,0.0004947900000000002,0.045044070000000005,0.018992649000000004,0.0011899570000000002,0.11796067600000001,0,0.00015587800000000003,0.0007596100000000001,0,0.0008968370000000002,0,0.0005670510000000001,0.016939209000000004,0.0016529150000000002,0.007658557000000001,0,0,0,6.400000000000001e-05,0.014509882000000002,0.024662413000000005,HC
Group_A_4,0.042349092000000005,0.010801919000000002,0.0006211250000000001,0.011036945000000001,0.0006882060000000001,0.026931265000000003,0,0.010150737000000002,0.017709634000000002,2.1000000000000002e-05,0,0.009204865000000001,0.019364907000000004,0.0014357760000000002,0.0009110590000000001,0,0.046205997000000006,0,0.023949402000000005,0.038858563000000006,0.0052825170000000005,0.04577338200000001,0.0003835740000000001,0,0.04627264700000001,0.07055410700000002,0,0.013678992000000001,0.004631550000000001,0.03626483800000001,0,0.08942691000000001,0.059681015000000004,0.0008999560000000001,0.013062186000000002,0,0,0.007039799000000001,0.010015341000000002,0.011480163000000002,0.013403024000000001,0.029050690000000004,0.0017634220000000002,0,0.018715066000000002,0.026252449000000004,0.028515829000000003,0.0037352180000000002,0,0.009749031000000002,0.0010190720000000002,0.07174465600000002,0.048992769000000005,0.024782043000000004,0.0024621330000000005,0.0007584900000000001,0.0014757960000000001,0.014830964000000002,0.027330259000000003,0.0007316200000000001,HC
Group_A_5,0.052192676000000014,0,0,0,0.004462510000000001,0.00019628400000000005,0.056031931000000014,0.060501495000000016,0,0.017725857000000005,0.052860005000000015,0.0024296650000000006,0.013434362000000004,0.005811896000000001,0.06051563800000001,0.0021557220000000005,0,0.04329248000000001,0.016071917000000005,0,0.022903747000000002,0.0018047040000000005,0.012702395000000003,0,0,0.017704224000000005,0.017112448000000002,0.034494259000000006,0.07329282600000002,0.0006225470000000001,0,0,0.04072551700000001,0.023584914000000005,0.06588662000000002,0.05237226900000001,0.050863866000000015,0,0,0.004994981000000001,0.003058719000000001,0.03213731500000001,0.03652908900000001,0.00044920700000000013,0.00032421100000000003,0,0,0.008090497000000002,0.031729979000000005,0,0,0.027002498000000007,0.0011839780000000002,0.007373645000000002,0.0069071370000000016,0.010346218000000003,0.016065242000000004,0.00027353300000000007,0.011551370000000002,0.00022960700000000005,HC
Group_A_6,0,0.020505751,0,0,0.005617087,0.00961744,0,0.042837106,0.026907876,0.027130539,0.010759166,0,0.050214749,0.055056235,0.031940002,0.025909629,0.078066026,0,0,0,0,0,0.037583821,0,0,0.00705986,0.006530253,0,0,0,0.047552853,0.049643644,0.034382161,0.002865729,0,0.030787215,0.016280587,0.066734686,0,0.0500504,0,0,0.029232434,0,0.01638796,0.005953777,0.02644515,0,0.044527126,0,0,0.057625273,0,0.025743581,0,0,0.02018253,0.011729841,0,0.028139513,HC
Group_A_7,0,0.004948226,0.118889574,0,0.007056289,0.002206129,0,0.025020874,0.000654192,0.034579769,0,0.001230278,0.031213187,0,0,0.010475011,0.02083853,0.041668845,0,0,0.007494351,0.013565524,0.011514044,0.013678161,0,0,0.049021733,0,0,0.006597787,0.020419281,0.014184888,0,0.021410263,0,0.041252383,0.018227045,0.033888373,0.016913846,0,0.013176225,0.013522351,0.094596216,0,0.065012968,0,0.019153365,0,0.011928175,0.010315172,0.075871418,0.025051117,0.021199012,0,0.008137888,0.026799455,0.016772649,0,0.003485403,0.028030003,HC
Group_A_8,0.0021255120000000004,0,0.009076600000000002,0,0,0.09952387000000003,0,0,0.0018942210000000004,0,0.03142016300000001,0,0.017002844000000003,0.04559669200000001,0.03997384400000001,0,0.023407732000000004,0.0073212860000000015,0,0.005777848000000001,0.049291121000000014,0.006690961000000001,0.037343272000000004,0,0,0,0.009331860000000003,0.07923053000000001,0,0,0,0.014661608000000003,0.09707570300000003,0.03474628200000001,0.03431451600000001,0.06892343400000002,0.020042955000000005,3.490000000000001e-05,0,0,0.041000217000000005,0,0,0.013296525000000003,0,0,0,0.025020928000000008,0,0.0068715120000000015,0,0,0.08132033000000001,0.02833011800000001,0.025068370000000006,0.011979319000000004,0,0.007834164000000001,0.024470763000000006,0,HC
Group_A_9,0.0030621429969378573,0.015415522984584479,0.12077258787922743,0,0.0029381259970618747,0.0401223099598777,0,0.0004300769995699231,0.0012564759987435243,0.016248366983751636,0.04004966695995034,0,0,0.045347830954652175,0.032920507967079495,0.014196579985803422,0,0,0.02072057997927942,0.00887794199112206,0,0,0.02110201297889799,0.0033374129966625876,0,0,0.009923732990076269,0,0.01047391198952609,0,0.02141156397858844,0.04515803495484197,0.0034087989965912017,0.02987292497012708,0.1472846318527154,0.016463211983536792,0.03154623696845377,0.02301255197698745,0.041861583958138424,0.018825489981174514,0.03259532796740468,0.009822510990177492,0,0.007938523992061478,0,0,0.008915106991084894,0.01298895198701105,0.006460769993539231,0.002628545997371454,0.0033134089966865912,0,0.02558993197441007,0.008087839991912161,0.02373107297626893,0,0.046010109953989894,0,0.025877079974122925,0,HC
Group_A_10,0,0.020855581,0.047582614,0,0.035901236,0.021996203,0.000716566,0,0.030698713,0.013387454,0.063920653,0.041856119,0,0.016076251,0,0.039751806,0.010263201,0,0.033505749,0.022504789,0.001433366,0.020735769,0.053391975,0.001727,0.026548708,0.021378461,0.00590548,0,0,0.019450833,0,0.086424968,0.008677354,0,0.023808196,0.005898147,0.002521856,0,0,0.028976618,0,0.020015295,0.014000127,0,0,0.017650743,0.024591405,0.062100809,0,0.018223242,0.00220978,0.025228327,0.041279319,0,0.021283531,0,0,0.020006343,0.027515413,0,HC
