Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Archaea;,p__Parvarchaeota;,c__Parvarchaea;,o__YLA114;,f__Unclassified;,g__Unclassified;,sp61
k__Archaea;,p__Parvarchaeota;,c__Micrarchaea;,o__pMC2A384;,f__Unclassified;,g__Unclassified;,sp62
k__Archaea;,p__Euryarchaeota;,c__Thermoplasmata;,o__E2;,f__Unclassified;,g__Unclassified;,sp63
k__Archaea;,p__Euryarchaeota;,c__DSEG;,o__DHVE3;,f__Unclassified;,g__Unclassified;,sp64
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__pMC1;,g__pMC1A4;,sp65
k__Archaea;,p__Euryarchaeota;,c__Thermoplasmata;,o__E2;,f__DHVEG_1;,g__DHVEG_1_Group;,sp66
k__Archaea;,p__Unclassified;,c__Unclassified;,o__Unclassified;,f__Unclassified;,g__Unclassified;,sp67
k__Archaea;,p__Euryarchaeota;,c__Thermoplasmata;,o__E2;,f__Unclassified;,g__Unclassified;,sp68
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobrevibacter;,sp69
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobrevibacter;,sp70
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobrevibacter;,sp71
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobrevibacter;,sp72
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobrevibacter;,sp73
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanobacterium;,sp74
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__Methanobacteriaceae;,g__Methanothermobacter;,sp75
k__Archaea;,p__Euryarchaeota;,c__Methanobacteria;,o__Methanobacteriales;,f__pMC1;,g__pMC1A4;,sp76
