Fold,True Label,Predicted Score,Predicted Label
1,1,[0.45537943],0.0
1,0,[0.37593314],0.0
1,0,[0.6741429],1.0
1,0,[0.58384573],1.0
1,0,[0.57679325],1.0
1,1,[0.59115195],1.0
1,1,[0.71493155],1.0
1,1,[0.7139082],1.0
1,1,[0.6319934],1.0
1,0,[0.52679086],1.0
1,0,[0.5992074],1.0
1,1,[0.95291793],1.0
1,1,[0.70012444],1.0
1,1,[0.74585676],1.0
1,1,[0.6927718],1.0
1,1,[0.64979786],1.0
1,1,[0.7646425],1.0
1,1,[0.49375144],0.0
1,1,[0.5914271],1.0
1,0,[0.40446937],0.0
1,0,[0.11857309],0.0
1,0,[0.4184111],0.0
1,0,[0.3764498],0.0
1,0,[0.8614267],1.0
2,0,[0.61485726],1.0
2,0,[0.6326315],1.0
2,0,[0.4421346],0.0
2,0,[0.51763946],1.0
2,1,[0.74899817],1.0
2,0,[0.50042266],1.0
2,0,[0.6006667],1.0
2,0,[0.4781296],0.0
2,1,[0.7058763],1.0
2,1,[0.9703011],1.0
2,1,[0.78220636],1.0
2,1,[0.8920554],1.0
2,1,[0.713657],1.0
2,1,[0.8256557],1.0
2,1,[0.7749525],1.0
2,1,[0.6340955],1.0
2,1,[0.75635076],1.0
2,1,[0.8752401],1.0
2,1,[0.8041668],1.0
2,1,[0.7357156],1.0
2,0,[0.17149727],0.0
2,0,[0.40774113],0.0
2,0,[0.5364367],1.0
3,0,[0.48188192],0.0
3,0,[0.3674225],0.0
3,1,[0.66926324],1.0
3,1,[0.7362205],1.0
3,1,[0.69590455],1.0
3,0,[0.557354],1.0
3,0,[0.464786],0.0
3,1,[0.78513336],1.0
3,1,[0.75511765],1.0
3,1,[0.6290486],1.0
3,1,[0.7572432],1.0
3,1,[0.71217555],1.0
3,1,[0.66938144],1.0
3,1,[0.5618436],1.0
3,1,[0.61099106],1.0
3,1,[0.6432972],1.0
3,1,[0.90753657],1.0
3,0,[0.33041483],0.0
3,0,[0.3808799],0.0
3,0,[0.741864],1.0
3,0,[0.43666545],0.0
3,0,[9.2904575e-06],0.0
3,0,[0.45510632],0.0
4,0,[0.58371824],1.0
4,1,[0.7091488],1.0
4,1,[0.6770406],1.0
4,0,[0.60879934],1.0
4,0,[0.28167647],0.0
4,0,[0.3786138],0.0
4,0,[0.45490873],0.0
4,1,[0.6898504],1.0
4,1,[0.71744645],1.0
4,1,[0.7277068],1.0
4,1,[0.6665834],1.0
4,1,[0.53723305],1.0
4,1,[0.64224374],1.0
4,1,[0.52364343],1.0
4,1,[0.60956705],1.0
4,1,[0.5274311],1.0
4,1,[0.62249804],1.0
4,1,[0.6775823],1.0
4,0,[0.65741533],1.0
4,0,[0.548631],1.0
4,0,[0.34873635],0.0
4,0,[0.37828174],0.0
4,0,[0.4823472],0.0
5,0,[0.42233455],0.0
5,0,[0.7302601],1.0
5,1,[0.6769872],1.0
5,0,[0.4486988],0.0
5,0,[0.48442918],0.0
5,1,[0.68366235],1.0
5,1,[0.7406455],1.0
5,1,[0.68119115],1.0
5,1,[0.9134131],1.0
5,0,[0.40804112],0.0
5,0,[0.5750056],1.0
5,1,[0.83514464],1.0
5,1,[0.65913564],1.0
5,1,[0.6003236],1.0
5,1,[0.53277],1.0
5,1,[0.83554333],1.0
5,1,[0.38046914],0.0
5,1,[0.3946653],0.0
5,1,[0.5832143],1.0
5,0,[0.17175354],0.0
5,0,[0.3376416],0.0
5,0,[0.525072],1.0
5,0,[0.65367395],1.0
